Harbour,,
CST,0,0
Masjid Bunder,2000,2000
Sandhurst Road,1000,3000
Dockyard Road,500,3500
Reay Road,500,4000
Cotton Green,1000,5000
Sewri,2000,7000
Wadala,2000,9000
G.T.B.nagar,2000,11000
Chunabhatti,2000,13000
Kurla,2000,15000
Tilak Nagar,1000,16000
Chembur,1000,17000
Govandi,2000,19000
Mankhurd,2000,21000
Vashi,8000,29000
Sanpada,1000,30000
Juinagar,2000,32000
Nerul,2000,34000
Seawoods-Darave,2000,36000
CBD Belapur,2000,38000
Kharghar,3000,41000
Mansarovar,2000,43000
Khandeshwar,3000,46000
Panvel,3000,49000
